site,region,actinia,hcarb,hcbus,hccol,hcenc,hcfol,hcmas,hctab,ocdig,oclob,ocmas,tws,fil,ocbus,ascidian,ocfan,zoaenc,spoglo,spomas,occlu,ocenc,other,sporep,spopap,coeenc,cru_or_spoenc,bss,ma,us
TS,KT,0.001382217,0.007365073,0.0756828,0.001178526,0.167151612,0.005077466,0.064042868,0.040455649,0.000164951,0.003451637,0.002183705,0.000393755,0,0,0,0,0,0,0,0,0,0.003117624,0.001840512,0,0,0.000412152,0.497291759,0.068125451,0.060682243
LDS,KT,0,0.016019296,0.11848354,0.014356737,0.316482761,0.031331546,0.044853272,0,0.012468896,0.002069143,0.000984372,0,0.00187837,0.005894327,0,0,0,0,0,0,0,8.29E-05,0,0,0,0.00580267,0.403818149,0.025474021,0
JLS,KT,4.59E-05,0.051715407,0.131146502,0,0.035594237,0.0423278,0.00963379,0.002503439,0,0.001443082,0,0,0.003513311,0.002369318,0.001000274,4.84E-05,0.000237446,0,0,0,0,7.97E-05,0.000148033,0,0,0.00577436,0.612795899,0.08305814,0.016564962
HBH,KT,0,0,0.054567292,0.00757208,0.044545435,0.455585021,0.015114637,0,0,0.00323333,0,0,0.000655854,0.005005998,0,0,0,0,0,0,0,0,0,0,0,0.000981176,0.151165918,0.001007704,0.260565555
DiBS,KT,0,5.51E-05,0.079305343,0.002333195,0.109177487,0.000264166,0.013335202,0,0.000339828,8.73E-05,0.000275798,9.90E-05,0,0.007079813,0,0,0.001101528,2.27E-05,0.000129861,0,0,0.001610879,0,0,0,0.010120112,0.687558847,0.069369805,0.017734036
GW,LD,0,0,0.063440368,0,0.18696224,0.210714217,0.021082799,0,0.000201375,0,0,0.000301386,0,0,0,0,0.000969624,0,0,0.173242933,0,0,0,0,0,0.009157447,0.33297094,0.000956671,0
CK,LD,0,0.007419092,0.057629111,0.003743024,0.341490458,0.044863829,0.222197115,0,0.002119218,0,0.000603586,0,0,0.002700582,0,0,0,0,0,0.000185592,0,0,0,0,0,0.043099058,0.235387474,0.000354091,0.03820777
SL,LD,0,0.019534078,0.079432708,0,0.226325366,0.019610125,0.288066463,0.011642157,0,0,0.001005996,0,0,0.003731246,0,0,0,0,0,0.226197598,0,0.000303527,0,0,0,0.00491188,0.112272569,0,0.006966286
DaBS,LD,0,0,0.050814341,0,0.308469101,0.000764165,0.017278473,0,6.88E-05,0,0.000289657,0,0.009240477,0.000435736,0,0,0.000188047,0,0.00114751,0.010725584,0,0.002726905,0,0,0,0.012253266,0.583305185,0.001469142,0.000823642
GGB,LD,0,0.013406784,0.069582158,0.006060755,0.376848107,0.008304196,0.100316043,0,0.033557218,0.004661407,0.005523539,0.000776821,0.000215384,0.003183239,0,0,0.001928815,0,0,0.0202845,0,0.000745134,0,0,0,0.025789987,0.296919779,0.009656202,0.022239934
CCG,LY,0,0.001665102,0.244844666,0.003963836,0.107962623,0.000648655,0.02213935,0,0,0,0,0.000320168,0.001700722,0.00129408,0,0,0.00034914,0,0.000255175,0.001606796,0.002267568,0.000263856,0,0,0,0.043687219,0.566597086,0,0.000433959
YY,LY,0,0,0.088008226,0,0.195390542,0.002389059,0.014556702,0,2.82E-05,0,0,0,0.001467297,0.001299231,0,0,0.000683573,0.000919466,0.000595193,0.023525731,0,0.001914117,0.000186691,0,0,0.078192365,0.57960365,0.004780846,0.006459154
HR,LY,0,0.029639974,0.119000156,0.000509863,0.252224248,0.015045803,0.099799267,0.018817742,0,0,0,0,0.00028329,0,0,0,0.00204732,0,0,0.001142829,0,9.54E-05,0,0,0,0.045880866,0.410819488,0.001656386,0.003037328
TL,LY,0,0.001832245,0.064696374,0.003166233,0.230740418,0.018477039,0.029848958,0.002913455,0.000126597,7.58E-05,0,0.000846265,0.01122806,0.002885916,0,0,0.003199778,0,0.000346953,0,0,0.000505709,0,0,0,0.088674647,0.520849347,0.015716134,0.003870058
DC,LY,0,0.037238844,0.07999762,0,0.051564663,0.000475816,0.030126804,0,0.013041188,7.05E-05,0.000104385,0,0.000409325,0.020628142,0,0,0.00712125,0,0,2.90E-05,0,1.67E-05,0,0,0,0.030927006,0.460861641,0.25522416,0.012162966
JH,EC,0,0.004880907,0.067053713,0,0.106308912,0.05679021,0.138532685,0,0.000796601,5.58E-05,0.000321688,0,0.06437922,0.000688094,0,0,0.000123073,0,0.000213789,0,0,0.00207058,0.029368207,0,0,0.002088443,0.300336429,0.009709224,0.216282419
JMZ,EC,0,0.00043431,0.187744723,0,0.128488453,0.049143849,0.098690906,0,0.002415506,0.004431422,0,0.001551001,0,0.000385711,0,0,0,0,7.19E-05,0.000387895,0,4.49E-05,0.000411173,0,0,0.000364037,0.347320414,0.053402767,0.124711043
HS,EC,0,0,0.021882728,0,0.057834451,0.001898106,0.009582689,0,0.000484832,0.000281201,4.73E-05,0,0,0,0,0,0.001015125,0,0,0,0,0.00029182,0.000123641,0,0,0.002228842,0.667431458,0.164030935,0.072866912
JQ,EC,0,0,0.002705157,0,0.010871581,0,0.003488506,0,0.002938531,0.000560969,0,0,0,0,0,0,5.26E-05,0,0,0,0,0.001193898,0.001790549,0,0,0.001987403,0.742020749,0.167177427,0.065212647
FNL,EC,0,0,0.024259164,0,0.201536614,0.039992839,0.022476651,0,0.034171727,0.239336634,0.009236453,0.000263767,0,0.048927242,0,0,0.002617074,0,0.000858556,0,0,0.000698057,0.006827489,0.002442938,0,0.014939682,0.321819186,0.000916982,0.028678946
LD,NC,0.0006341,0,0.007763163,0,0.104972655,0.002556059,0.064476332,0,0.005011254,0,0,0,0.470380375,0,0,0,0.032625572,0,0.000146483,0,0,0.002169769,0,0,0.001173962,0.017169488,0.243254671,0.043581017,0.0040851
BT,NC,0,0,0.021136573,0,0.112339784,0,0.113863777,0,0.000607406,0.005763736,0,0.002960446,0.026633447,0,0,0,0.306341642,0.000490332,0.001330656,0,0,5.91E-05,0,0,0,0.069935146,0.322516358,0.002282682,0.013738965
CJ,NC,0,0,0.065663314,0,0.168737024,0.022967135,0.035433435,0.000161554,0.000206082,0,0,0.000153318,0.04305248,0.000179661,0,0,0.005723555,3.35E-05,1.71E-05,0,0,0.000440954,0,0,0,0.023112385,0.537416322,0.0167627,0.079939495
MYS,NC,0,0,0.000723137,0,0.01450081,0,0.007176286,0,0.001984139,0.000778149,2.20E-05,0.000294552,0.046574953,0.000404992,0,0,0.000787014,0,0,0,0,0.000107566,0,0,0,0.091787937,0.730706992,0.032871554,0.071279891
82.5,NC,0,0.000259458,0.003012592,0,0.39264211,0,0.111131661,0,0.000669908,0,0,0,0.001089472,0,0,0,0.004614864,0,0,0,0,0.000509587,0,0,0,0.02582931,0.372972486,0.013614,0.073654554
